Year,Population,Violent ,Violent.rate ,Murder,Murder.rate ,Rape,Rape.rate,Robbery,Robbery.rate ,Aggravated.assault,Aggravated.assault.rate ,Property,Property.rate ,Burglary,Burglary.rate ,Larceny,Larceny.rate ,Motor.theft,Motor.theft.rate ,Population.25,Elementary.0.4,Elementary.5.8,High.1.3,High.4,College.1.3,College.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,267783607,1636096,611.0,18208,6.8,96153,35.9,498534,186.2,1023201,382.1,11558475,4316.3,2460526,918.8,7743760,2891.8,1354189,505.7,170581000,2840000,10472000,17211000,57586000,41774000,40697000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,270248003,1533887,567.6,16974,6.3,93144,34.5,447186,165.5,976583,361.4,10951827,4052.5,2332735,863.2,7376311,2729.5,1242781,459.9,172211000,2834000,9948000,16776000,58174000,42506000,41973000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,272690813,1426044,523.0,15522,5.7,89411,32.8,409371,150.1,911740,334.3,10208334,3743.6,2100739,770.4,6955520,2550.7,1152075,422.5,173754000,2742000,9655000,16443000,57935000,43176000,43803000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,281421906,1425486,506.5,15586,5.5,90178,32.0,408016,145.0,911706,324.0,10182584,3618.3,2050992,728.8,6971590,2477.3,1160002,412.2,175230000,2742000,9438000,15674000,58086000,44445000,44845000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,285317559,1439480,504.5,16037,5.6,90863,31.8,423557,148.5,909023,318.6,10437189,3658.1,2116531,741.8,7092267,2485.7,1228391,430.5,180389000,2810000,9518000,16279000,58272000,46281000,47228000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,287973924,1423677,494.4,16229,5.6,95235,33.1,420806,146.1,891407,309.5,10455277,3630.6,2151252,747.0,7057379,2450.7,1246646,432.9,182142000,2902000,9668000,16378000,58456000,46042000,48696000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,290788976,1383676,475.8,16528,5.7,93883,32.3,414235,142.5,859030,295.4,10442862,3591.2,2154834,741.0,7026802,2416.5,1261226,433.7,185183000,2915000,9361000,16323000,59292000,46910000,50383000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,293656842,1360088,463.2,16148,5.5,95089,32.4,401470,136.7,847381,288.6,10319386,3514.1,2144446,730.3,6937089,2362.3,1237851,421.5,186876000,2858000,8888000,15999000,59811000,47571000,51749000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,296507061,1390745,469.0,16740,5.6,94347,31.8,417438,140.8,862220,290.8,10174754,3431.5,2155448,726.9,6783447,2287.8,1235859,416.8,189367000,2983000,8935000,16099000,60893000,48076000,52381000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,299398484,1435123,479.3,17309,5.8,94472,31.6,449246,150.0,874096,292.0,10019601,3346.6,2194993,733.1,6626363,2213.2,1198245,400.2,191884000,2951000,8791000,16154000,60898000,49371000,53720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
